,mid,title,text
10,6453051	,US-6	,"斯蒂庞克US6是美国二战时期一个与5吨6x4卡车系列，由斯蒂庞克公司与公司制造。1939-1940年，美国陆军军械部队招标吨战术6×6越野车。斯蒂庞克、通用汽车下属的、提交了设计并于1941年投产。US-6 吨战术6×6越野车与相关的5吨6x4卡车，总计生产了13个车型219,882辆。其中197,678辆在印第安纳州南本德工厂生产。 REO公司在芝加哥工厂从1944年生产了22,204辆US6 U9卡车（无前绞盘）。1945年停产。大部分车辆根据租借法案援助苏联，因为其竞争对手-ton at Engines of the Red Army]	"
11,6453055	,出水田真纪	,出水田真纪（Izumida Maki，）是日本田径运动员，专攻长跑项目。她代表日本参加2014年亚洲青年田径锦标赛女子5000公尺比赛，获得金牌。出生于神奈川县横滨市绿区。小学入学时迁居至横滨市矶子区生活。父亲出水田洋、母亲田村有纪（旧姓）皆为驿传选手。她从12岁开始接触田径运动，现效力于第一生命集团女子陆上竞技部。	
12,6453061	,尤莉娅·别洛鲁科娃	,尤莉娅·谢尔盖耶芙娜·别洛鲁科娃（，）生于科米共和国索斯诺戈尔斯克，是一名俄罗斯女子越野滑雪运动员。别洛鲁科娃六岁时开始练习滑雪（一说十岁）。一开始她和同龄人差别不大，后来她的能力有所提升。2014年，她在芬兰拉赫蒂完成了个人的世界杯分站赛首秀。	
13,6453072	,海南热带雨林国家公园	,海南热带雨林国家公园是一个位于中国海南省的国家公园，范围包括五指山、鹦哥岭、尖峰岭、霸王岭、吊罗山等5个国家级自然保护区，佳西等3个省级自然保护区，黎母山等4个国家森林公园、阿陀岭等6个省级森林公园与相关国有林场。该国家公园旨在更加有效保护热带雨林生态系统的原真性和完整性。	
14,6453084	,张洋铭	,张洋铭来自吉林省通化市，是一名中国男子高山滑雪运动员。他在2004年进入通化市运动学校，开始练习高山滑雪，2015年，他加入国家队。2018年，他获得平昌冬奥参赛资格。在冬奥期间，他在唯一的参赛项目男子大曲道上获得第69名。	
15,6453086	,完颜宗叙	,完颜宗叙，本名德寿，女真族，姓完颜。鲁王完颜阇母第四子。金朝将领，金世宗时参知政事。完颜宗叙少年时身形奇伟，志向远大，喜欢和别人谈论军事。海陵王完颜亮天德二年（1150年），完颜宗叙出任海陵王的护卫，被授予了武义将军的职务。第二年，授任为世袭谋克，提升为御院通进、翰林待制，兼修起居注，转任国子司业，兼左补阙。正隆元年（1156年），转任符宝郎，在皇宫内共任职五年，转任大宗正承，正隆五年（1160年），担任侍卫亲军马军都指挥使，负责保卫皇宫。改任左骁骑都指挥使。正隆六年（1161年），以咸平（今辽宁开原东北）尹兼本路兵马都总管。参与镇压契丹人撒八、移剌窝斡反金。金世宗即位，完颜宗叙上表迎奉，授宁昌军节度使。后拜兵部尚书，领右翼都统，进兵北边。与仆散忠义伐契丹有功，入为右宣徽使。大定三年（1163年），南宋攻打海州，金世宗授完颜宗叙为元帅右监军，驻山东，分兵据守要地，防御南宋。大定五年（1165年），完颜宗叙领兵伐宋，屡破宋军，授为河南路统军使。大定十年（1170年），入朝为参知政事。大定十一年（1171年），在家中去世。	
16,6453088	,道格拉斯·葛瑞罕	,道格拉斯·葛瑞罕（，）是一名美裔英国传记作家、演员和电影制片人，亦为作家和海伦·乔依·戴维德曼的儿子，C·S·路易斯的继子。葛瑞罕于1945年出生于美国纽约市，是威廉·林赛·葛瑞罕和海伦·乔依·戴维德曼的儿子，有一个兄长大卫·林赛·葛瑞罕。1954年，因双亲分居，葛瑞罕随著母亲与兄长移居英国。他就读萨里郡的丹恩皇家小学，学费皆由C·S·路易斯资付。1956年，母亲与路易斯结婚，葛瑞罕因此成为路易斯的继子。1960年，母亲因癌症病逝；1963年，继父路易斯也去世了。道格拉斯·葛瑞罕与母亲和继父一样信仰基督教，但其兄长大卫却信仰犹太教。葛瑞罕也在纳尼亚传奇系列电影中担任联合制片人，确保电影剧本忠于原著小说。他还于该系列电影第一部《纳尼亚传奇：狮子·女巫·魔衣橱》中为电台播音员配音，于第二部《纳尼亚传奇：贾思潘王子》中客串饰演Telmarine crier，于第三部《纳尼亚传奇：黎明行者号》客串饰演一名奴隶买家。葛瑞罕于1927年2月与梅丽结婚，他们有三个儿子和两个女儿。在1993年电影《》，道格拉斯·葛瑞罕由约瑟夫·马杰罗饰演。	
17,6453090	,约翰·曼德森 (医学家)	,约翰·曼德森（，)，研发出第一种标靶药物Erbitux（尔必得舒）的医学家。和东尼・杭特（Tony Hunter）、布莱恩・德鲁克尔（Brian J. Druker）一同获得2018年唐奖生技医药奖。2019年1月7日因脑癌去世。	
18,6453093	,亨元	,蔡亨愿，1994年1月15日出生，艺名为亨元，是一名韩国男歌手、舞者、模特儿、演员。为Monsta X七位成员之一，担任领舞、副唱、门面。	
19,6453095	,GMC CCKW	,"GMC CCKW，中国抗战时称为季姆西十轮大卡车，是美国陆军二战时标准装备的越野车与载重卡车。CCKW源自通用汽车的车型命名法:1939-1940年，美国陆军军械部队招标吨战术6×6越野车。斯蒂庞克、通用汽车下属的、提交了设计。其中，通用汽车把1939年为法国陆军研发的ACKWX改进为CCKW。美国陆军选中通用汽车为中标的标准卡车，由、生产。至1945年停产，累计生产了562,750辆，仅次于吉普车。The CCKW was equipped with the GMC 270 engine, an overhead valve inline-6 with at 2750rpm and at 1400rpm. A bore by stroke gave a displacement. This (gasoline) engine was designed for commercial trucks, and was reliable in service.The transmission was a Warner T93 5-speed with a direct 4th gear and overdrive 5th gear. The transfer case had high and low gears, and engaged the front axle. Originally all axles were a Timken split type, later trucks also used GM ""banjo"" types.The CCKW had a ladder frame chassis with three driven beam axles, the front on leaf springs, the rear tandem on leaf springs with locating arms. There were two wheelbases, the short Model 352 and the long Model 353. The short, (Measurements are from the centerline of the front axle to the centerline of rear bogie) was used with a short cargo bed as an artillery prime mover for 75 mm and 105 mm howitzers. All other models used the long wheelbase. Tires were 7.50-20, brakes were hydraulic with vacuum assist.Some were fitted with front-mounted winches. A winch added and .Some open cab chassis were cut in half behind the cab for air transport. Each half was a load, at the vehicle's destination, the halves were bolted back together. CCW (C表示1941, C表示传统驾驶室, W表示串联双后桥)是公路型5吨6×4卡车，使用梁式前轴。  	"
20,6453097	,格洛克43X	,格洛克43X（Glock 43X）是一款由奥地利枪械制造商格洛克公司所研制、生产并且推出的袖珍型半自动手枪，是格洛克43和格洛克48的混合型（可在格洛克的归类中仍然是瘦身袖珍型）。发射9×19毫米鲁格手枪子弹，标凖弹匣为10发。在2015年之中推出的格洛克43，有著握把过短过窄、以致弹匣装弹量过少和人机工效逊色的不足。格洛克43X在2019年（美国著名枪展）以上首度展出。格洛克43X在2018年设计。它在推出时已经是以第五代版本之姿出现，但与第五代版本不同的是并没有在滑套上型号位置加上「Gen5」。 格洛克43X拥有加长至紧凑型长度并稍为加寛的底把和获保留瘦身袖珍型的滑套和枪管长度。前者对弹匣装弹量与人机工效都有所改进，后者则保持的紧凑尺寸。格洛克43X的零件为第五代水平，但采用黑底把白套筒的双色外观。银白的套筒并非因为采用不锈钢制件，而是聚合物制件以上涂上了银色的nPVD表面涂层。格洛克43X为格洛克43的衍生型，但其10发弹匣不能反过来让格洛克43使用，却可与格洛克48完全互换底把与弹匣。格洛克43X亦在滑套前部加上锯齿纹的手枪，让使用者在检查膛室时能握著滑套前部拉开滑套。 	
21,6453099	,亚当·恩格尔	,"亚当·崔佛·恩格尔（, ），为美国职棒大联盟芝加哥白袜的外野手。2013年大联盟选秀，白袜队于第19轮选进恩格尔。他从高阶1A起步。2014年则是待在秋季联盟，还一度打过澳职。2016年，恩格尔在亚利桑纳秋季联盟的打击率为4成03，拿下了联盟MVP。球季结束后，白袜队将恩格尔加入40人名单。2017年5月27日，在3A的恩格尔登上大联盟，在生涯第3个打席击出大联盟首安。2018年，在全大联盟的中外野手中，恩格尔的守备率是最低的，仅.981。	"
22,6453101	,孔凡影	,孔凡影来自黑龙江哈尔滨，是一名中国女子高山滑雪运动员。2013年3月，她获授予国家体育总局授予运动健将称号。2018年，她获得平昌冬奥参赛资格。冬奥期间，她参加女子大曲道和女子曲道两个项目，其中她在大曲道项目上获得第55名，而在曲道项目上则未能完成比赛。	
23,6453104	,超高解析度显微镜学	,"在光学显微镜学中，超高解析度显微镜学是一结合多项技术的专有名词，此技术让影像解析度能超越绕射极限。根据1873年恩斯特·阿贝的研究(特别是对于宽场光源)，光的绕射会造成传统光学显微镜解析度的极限：一数值孔径N.A.，且入射光波长为λ的具绕射极限的显微镜的水平解析度为d = λ/(2 N.A.)，垂直解析度(z方向)也可以用同样的表达式给出。一个标准的光学显微镜解析度在可见光范围约为水平200奈米、垂直600奈米。实验上，可达到的解析度可量取点状物体的点扩散函数的半峰全宽求得。虽然显微镜的解析力并未完整定义，目前公认超高解析度显微镜技术可达到比阿贝所定义的解析度。超高解析度显影剂术包含单分子局域分析法、光子穿隧显微术、以及利用超级透镜、近场扫描式光学显微镜、4Pi显微镜、共聚焦显微镜(将针孔关闭)、或是经过反褶积 、侦测器相素重配等计算处理后的共轭焦显微镜影像，也包含利用结构性光源的险微镜技术(例如SIM以及垂直显像SMI)。目前有两种主要的功能型超高解析度显微镜学：2014年10月8日， 诺贝尔化学奖颁发给艾力克·贝齐格, 威廉·莫尔纳尔和斯特凡·赫尔以表彰他们对""超高解析度萤光显微镜""的贡献，这促使""光学显微镜进展到奈米尺度""。在1978年，已有第一个理论试图透过4Pi 显微镜突破阿贝极限。	"
24,6453109	,庆应医学奖	,庆应医学奖 ()是一个由日本庆应义塾大学颁发的医学奖项，奖励。1994年由庆应义塾大学校友坂口光洋提议设立庆应义塾大学医学振兴基金，每年九月中旬各选出一位在生命科学领域卓有成就的医学家的日本人和非日本人给予奖励。每年11月或12月在庆应义塾大学举行颁奖典礼。	
25,6453115	,格洛克48	,格洛克48（Glock 48）是一款由奥地利枪械制造商格洛克公司所研制、生产并且推出的袖珍型半自动手枪，是格洛克19的瘦身袖珍型版本。发射9×19毫米鲁格手枪子弹，标凖弹匣为10发。格洛克48在2019年（美国著名枪展）以上首度展出。格洛克48在2018年设计。它在推出时已经是以第五代版本之姿出现，但与第五代版本不同的是并没有在滑套上型号位置加上「Gen5」。 格洛克48拥有收窄至接近瘦身袖珍型的底把和获保留紧凑型的滑套和枪管长度。前者可在弹匣装弹量、隐蔽性与人机工效之间取得平衡，后者则保持射击精度和火药燃烧。 格洛克48的零件为第五代水平，但采用黑底把白套筒的双色外观。银白的套筒并非因为采用不锈钢制件，而是聚合物制件以上涂上了银色的nPVD表面涂层。 格洛克48亦在滑套前部加上锯齿纹的手枪，让使用者在检查膛室时能握著滑套前部拉开滑套。 目前它是格洛克公司第四把瘦身手枪型号，紧凑型底把、滑套及枪管的尺寸与其他型号不同，为了保持握把的阔度而改用了10发容量的单排弹匣，因此只能与同格洛克43X的口径型号互换弹匣，甚至底把。格洛克48是向民间市场销售，亦可被执法部门广泛采用。格洛克48的握把阔度比格洛克19要薄，更便于隐蔽任务，或作为便衣探员及私人保安的「后备手枪」。 格洛克43X（Glock 43X）是格洛克43和格洛克48的混合型，拥有格洛克43般的滑套和枪管和本枪的底把（可在格洛克的归类中仍然是瘦身袖珍型，而套筒也是涂上了银色表面涂层）。	
26,6453116	,完颜定奴	,完颜定奴，女真族，姓完颜。金朝将领，金宣宗时参知政事。完颜纲的弟弟。绰号“三脆羹”。完颜定奴与哥哥完颜纲全都知名。初任护卫、平凉府（今甘肃平凉）判官，官至同知真定府（今河北正定县）。泰和六年（1206年），从平章政事仆散揆攻宋，加平南虎威将军。罢兵后，转任河南东路副统军，三迁至武胜军节度使，入为右副点检。大安二年（1210年）升为元帅右都监。蒙古军攻西京（今山西大同市），奉令前往救援，改任震武军节度使。元帅奥屯襄救西京，全军被歼于墨谷口，完颜定奴因为失期不至及不奏军败实情降职为河州防御使。金宣宗即位，除知归德府。担任签枢密院事，行院于归德府。贞祐二年（1214年），改任知河南府，兼河南副统军使。改为殿前都点检、兼侍卫军都指挥使，在徐州行枢密院。入朝官至刑部尚书、参知政事。兴定三年（1219年）卒。	
27,6453126	,八分钟的温暖	,《八分钟的温暖》，2019年中国偶像剧。本剧改编自夏茗悠的同名小说，由姜卓君、陈汛、丁禹兮、朱丹妮领衔主演，腾讯视频于2019年1月30日首播。	
28,6453132	,刘鹗 (元朝)	,刘鹗，字楚奇，吉安永丰人。生于元世祖至元二十七年（1290年），卒于惠宗至正二十四年（1364年），年七十五。仁宗皇庆间荐授扬州学录，历翰林修撰，擢江州总管，升广东副使，拜江西参政。守韶州六年，后为江西红巾军所破，被执死。为文风骨高秀，学者称浮云先生。有《惟实集》八卷，外集二卷传世。	
29,6453134	,天下无诈	,"《天下无诈》，2019年中国刑侦剧。由郭晓东、徐悦、王茜领衔主演，北京卫视于2019年1月30日首播。!colspan=""2""|平均收视|||||||| || |||| || ||||align=""left"" |	"
30,6453140	,山室直仪	,山室 直仪（やまむろ ただよし）他是日本の动画师。Shindo Productions（进藤プロダクション）出身、东映动画所属。山室直仪小时候在少林寺习武，因此喜欢动作类的作品。当『七龙珠』开始时他觉得「太棒了!!」(笑)。<br>1984年，他被聘为进藤满尾在1981年创立的Shindo Productions成员，以「细致」「流畅」「锐利」的动画为主要特色，之后很快地被东映动画公司雇用制作鸟山明原作系列改编的动画。后来信藤在开始鸟山的改编『七龙珠Z』制作时，为降低工作量开始将动画监督的职位交给山室直仪。<br>山室直仪也因为开始改编鸟山明的连载漫画『怪博士与机器娃娃』（『周刊少年Jump』1986年到1981年）的电视动画而闻名。之后也参加1985年『天使之卵』和1986年『天空之城』的剧场版动画作品。他的代表作有：『航海王』(作画监督)、『冒险王毕特』(角色设计、作画监督)。在电视动画『怪博士与机器娃娃』之后，他继续为鸟山明原作有关的『七龙珠』『七龙珠Z』『七龙珠GT』『怪博士与机器娃娃』（数位重制版）制作，他的高水准的作画受到瞩目。<br>1991年他继承进藤満尾的作画监督。当时他和志田直俊、中鹤胜祥、佐藤正树四人成为七龙珠动画系列在重要关键时刻动员作画监督的动画师。1992年11月前田实离开后，山室直仪和中鹤胜祥共同分担『七龙珠』接下来的人物设计，直至1997年『七龙珠GT』结束。1996年，山室直仪离开了Shindo Productions，留在东映动画工作至今。之后鸟山明作品『七龙珠』系列DVD版的封面图由山室直仪包办，后续参与『航海王』和『数码宝贝』系列同样表现高作画的水准。2015年10月，山室直仪在Barcelona（巴塞隆纳）接受节目「Mision Tokyo」的采访。在谈论关于受到观众争议的电视动画『七龙珠超』，以及『七龙珠超』与『七龙珠GT』是否互相连结的同时，山室提到：「我最喜欢的还是『七龙珠』系列，所以我会尽全力到我再也画不动了为止」。山室直仪在早期是一位受到东映动画公司的高层重用与优秀的动画师。然而在近几年担任电视动画『七龙珠超』的指导与监督后，遭受世界的动画家和七龙珠粉丝的批评。动画师龟田祥伦也在Twitter上表示「前田実さん时代の柔らかい絵柄にしてくれ...」并表示对他非常失望。<br>但林田师博提到：我们收到的反应都太过于夸张。有些人只剪了一部分看起来较差的画面放上网，然后就谈论整套作品，我觉得不能只凭一小部分就去批评整套作品。负责那些镜头画面的职员都是刚开始在这个行业不久的新人，这意味著他们的技术仍然不断进步。无论如何，他们都是很好的动画师。1986年1987年1988年1989年1996年1997年1999年2001年2002年2003年2004年2005年2006年2007年2008年2009年2011年2012年2013年2014年2015年1984年1985年1986年1988年1990年1991年1993年1994年1995年1996年2000年2001年2002年2004年2005年2006年2007年2009年2011年2012年2013年2014年2015年	
31,6453143	,领风者	,《领风者》是中国制作的一部动画，共七集，每集25分钟，讲述了卡尔·马克思与燕妮相爱、与恩格斯相遇并创作《资本论》的人生经历，是纪念马克思诞辰200周年的献礼。2019年1月28日在bilibili与优酷首播，中共中央宣传部理论局（中央马克思主义理论研究和建设工程办公室）和内蒙古自治区党委宣传部策划，中国社会科学院学术支持。已有同名系列漫画书出版，且动画和漫画同步更新，预计还将推出舞台剧、表情包、动漫周边、小程序测试题等。	
32,6453144	,旗津轮渡站	,旗津轮渡站，也称旗津渡轮或渡船头，主要连结旗津区与鼓山区之间的交通往返，由高雄市轮船公司负责营运。而最著名旗鼓航线连接高雄市最早开发的哈玛星，不仅是旗津居民的公共交通渡轮，亦是游客品尝海鲜美食，并走访古迹老街的观光交通渡轮。近年来因应驳二特区观光发展，逢假日行人可从栈贰库搭乘渡轮至旗津轮渡站，可以节省从驳二或轻轨步行到鼓山轮渡站的距离。	
33,6453150	,国家元首旗帜列表	,本旗帜列表展示的是部分国家的元首专用旗帜，例如总统旗（President Standard）、皇家旗（Royal Standard）等。国家元首旗帜的设计，通常是在国旗的基础上增加一些文字图案（例如国徽）、比例调整版本，或者以国旗为蓝本重新设计等等。世界上绝大部分国家设有国家元首旗帜（通常为总统制、君主制国家），不过有一些国家，例如中华人民共和国、越南、老挝等，不设置国家元首旗帜。以下国家（包括有限承认国家）依其英文名称首字母排序。	
34,6453162	,黄艺智	,黄艺智（韩语：황예지；2000年5月26日－），艺名为艺智（，），韩国JYP娱乐旗下女子团体ITZY成员。	
35,6453169	,崔智秀 (ITZY)	,	
36,6453172	,带我去远方 (综艺)	,《带我去远方》是上海巧豆文化传媒有限公司与腾讯视频合作，打造的大型户外体验式儿童教育节目。节目由侯佩岑担任园长，王彦霖担任副园长，组成「远方幼儿园」，每一站都会有不同的飞行嘉宾担任城主，带领著学龄前的素人孩子，经过6站的体验经历，培养他们对中国传统文化的热情和探索世界的好奇心。※粗体字为城主《带我去远方》腾讯视频网站《带我去远方》微博	
37,6453173	,天地正教	,天地正教，成立于日本北海道带广市，由创教者川濑加代所创。为一佛教系统或基督系统的新兴宗教。台湾由中华天地正教总会所传承。川濑加代自称被感知，说，你就是要创立天运教的人。然而告知旁人均不被重视。后进入精神病院医治。随后，以百日日参的仪式行为号召他人一同修行。1963年，信仰者重整为富士会，供奉八大龙神，马头観音，弘法大师等。其曾自称受弘法大师灵性的教导。川濑早年信仰统一教，后自立天运教，1988年改名天地正教。以弥勒信仰为中心，尊弥勒为教祖。被批评为统一教的另一分支。信仰者多为主妇阶层。1998年，内部产生冲突；原新谷身旁的干部怀疑统一教的吸收献金方式、韩国和日本的统一教干部拥有掌控权、天运教原干部不悦，12人发出请愿书要求调查给文鲜明的世界日报的财务和献金，新谷未接受。松波孝幸取消会长制度，连署的12人遭到降职。1999年，该社团解散。2000年后，该教信徒由统一教接收；后天地正教名存实亡。编注*为日本**为台湾。该教拥有独立的宗教经典，且提倡家庭幸福，敬天敬地和爱人。广纳各宗教，信奉弥勒，耶稣基督，和保持日本佛教的教诲。与灵石同好会，统一教一般号称一只幸福的壶(或多宝塔，灵石)可带来好运。原告主张其透过灵感商法敛财，有人伪装高兴收到该物品，好借此出售商品。	
38,6453174	,郑世维	,郑世维，中国国民党籍中华民国政治人物，新北市芦洲区人，曾任台北县议会议员、新北市果菜公司副总经理，现任国民党文传会副主委。2019年受中国国民党征召参选新北市第三选区立委补选。郑世维于1967年出生于台北市，从小家境清寒，自国中毕业后，便开始半工半读；16岁时，开始定居于芦洲地区。原先在东森电视担任电视购物主持人，2005年首度投入县议员选战便一举当选。2015年时，朱立伦当选中国国民党党主席，延揽其出任文传会副主委。2019年，因原任立法委员高志鹏因案入狱解职，国民党征召郑世维代表参选，迁籍入三重，与民进党所提名的余天对垒。因曾任新北市果菜运销公司职务，呼应2018年选举时全台所掀起的韩国瑜风潮，也以「三重卖菜郎」之姿宣传。	
39,6453182	,乔安·马萨格	,乔安·马萨格（，；）是西班牙加泰罗尼亚癌症生物学家和肿瘤学家，现任美国纽约市康奈尔大学医学研究生院教授，和纪念斯隆-凯特琳癌症中心研究部门主任。他主要研究癌细胞的远端转移和调节细胞行为的生长因子，是国际学术界公认的癌症研究权威。马萨格于1953年4月30日出生在西班牙巴塞罗那市，1978年获得巴塞罗那大学生物化学博士学位。1979年，他获得福布莱特奖学金，赴美国布朗大学生物医学实验室开始博士后科研工作，主要研究胰岛素受体结构。1982年末，他成为伍斯特马萨诸塞大学医学院生物化学助理教授。1989年，他成为纪念斯隆-凯特琳癌症中心研究员；从2003年起，他开始担任该中心研究部门癌症和遗传学项目负责人；2013年，他被任命为研究部门（SKI）主任并于2014年正式上任。1990年至2013年间，他还在霍华德·休斯医学研究所担任研究员。他也是2005年新成立的巴塞罗那学术顾问。在2015年加泰隆尼亚议会选举前一周，马萨格和其他12名科学家签署联合声明，支持加泰罗尼亚从西班牙独立。在此之前，他曾谴责过西班牙政府对待本国科研的冷漠态度，以及在科研管理方面的漏洞。马萨格的早期主要成果是发现了转化生长因子-β（TGF-β）抑制和促进肿瘤细胞生长的双重作用。他目前的研究重点是癌细胞的远端转移，这些研究对癌症的治疗具有指导性意义。马萨格曾与施一公在《细胞》期刊发表论文，重新解释了TGF-β信号从细胞膜到细胞核的传导机制。他还和同事对转基因鼠进行了研究，结果发现持续激活TGF-β信号传导能延长乳腺肿瘤形成的潜伏期，但也同时增加了血管外的肺转移。同年发表的研究表明TGF-β的存在会激活两种基因，使乳腺癌细胞向骨转移。2005年，他和同事发表的研究表明，乳腺癌细胞会表达一组与转移相关的基因，这些基因促成乳腺癌细胞扩散到肺部。后来的研究具体揭示了转移的途径：Wnt信号通路与肺癌细胞的转移和扩散密切相关，有三种蛋白质构成了乳腺癌细胞转移并侵入大脑的重要通路。为深入探索癌细胞实现脑转移的机制，他和研究团队对小鼠进行了相关实验，结果发现，成功到达大脑并生长为新肿瘤的一些癌细胞通过生成丝氨酸蛋白酶抑制剂来抵抗大脑中的天然防御屏障——纤溶酶。他们还发现，一些缺乏蛋白的癌细胞虽然能够到达脑部，但并不会沿着血管形成肿瘤。马萨格团队还发现了一些肿瘤细胞的“自激注入”过程，即外周循环肿瘤细胞能够返回其原发肿瘤并继续发展，从而增强肿瘤生长。马萨格的个人爱好是收集矿物。他还喜爱地中海饮食和日本料理。1992年，马萨格的父亲去世，这致使他坚定决心，将更多的精力投入在癌症研究上。	
40,6453203	,屈楚萧	,屈楚萧，出生于四川眉山，中国影视演员。2017年本科毕业于中央戏剧学院表演系。2016年以出演都市爱情网剧《我的朋友陈白露小姐》的男主角触电荧屏。 之后在古装剧《如懿传》中饰演荣亲王永琪， 以及在古装传奇剧《独步天下》中饰演多尔衮。 2018年，主演了古装武侠剧《媚者无疆》，饰演男主角影子长安。 首次大屏幕体验是友情客串《父子雄兵》中的Michael哥。 之后出演了青春电影《二十岁》、 《毕业进行时》、 以及《男孩向前冲》。 在中国首部星际科幻电影《流浪地球》中扮演了刘启，刘培强的儿子。	
41,6453204	,黄名纬	,"黄名纬（，）是新加坡男子跆拳道运动员。他于2017年英联邦跆拳道锦标赛在男子58公斤以下获得金牌，成为第一位新加坡人在英联邦跆拳道锦标赛的对打项目获得金牌。他也在2015的东南亚运会男子54公斤以下获得铜牌。 截至2019年1月，他在Instagram上共收集了47,500名粉丝，使他成为新加坡最受关注的运动员之一。	"
42,6453213	,侣伦	,侣伦（1911年-1988年），原名李观林，为早期香港文学重要作家，创作散文及中、长篇小说，也曾担任电影编剧、文学杂志编辑。代表著作为小说《穷巷》。其创作早期作品多以恋爱、爱情为主题，创作中期经历香港沦陷，写作开始以战争为主题，至创作晚期主要描写都市人的生活。	
