mid,lid,text
6453090	,177	,约翰·曼德森（，)。	
6453090	,178	,研发出第一种标靶药物Erbitux（尔必得舒）的医学家。	
6453090	,179	,和东尼・杭特（Tony Hunter）。	
6453090	,180	,布莱恩・德鲁克尔（Brian J. Druker）一同获得。	
6453090	,181	,2018年唐奖生技医药奖。	
6453090	,182	,2019年1月7日因脑癌去世。	
6453093	,183	,蔡亨愿，1994年1月15日出生，艺名为亨元。	
6453093	,184	,是一名韩国男歌手。	
6453093	,185	,舞者，模特儿。	
6453093	,186	,演员。	
6453093	,187	,为Monsta X七位成员之一，担任领舞，副唱，门面。	
6453095	,188	,GMC CCKW，中国抗战时称为季姆西十轮大卡车。	
6453095	,189	,是美国陆军二战时标准装备的越野车与载重卡车。	
6453095	,190	,CCKW源自通用汽车的车型命名法:1939-1940年。	
6453095	,191	,美国陆军军械部队招标吨战术6×6越野车，斯蒂庞克。	
6453095	,192	,通用汽车下属的。	
6453095	,193	,提交了设计，其中。	
6453095	,194	,通用汽车把1939年为法国陆军研发的ACKWX改进为CCK。	
6453095	,195	,W，美国陆军选中通用汽车为中标的标准卡车。	
6453095	,196	,由，生产。	
6453095	,197	,"至1945年停产，累计生产了562,750辆，仅次于吉普车。	"
6453095	,198	,The CCKW was equipped with th。	
6453095	,199	,"e GMC 270 engine, an overhead。	"
6453095	,200	, valve inline-6 with at 2750r。	
6453095	,201	,pm and at 1400rpm. A bore by 。	
6453095	,202	,stroke gave a displacement. T。	
6453095	,203	,his (gasoline) engine was des。	
6453095	,204	,"igned for commercial trucks, 。	"
6453095	,205	,and was reliable in service.T。	
6453095	,206	,he transmission was a Warner 。	
6453095	,207	,T93 5-speed with a direct 4th。	
6453095	,208	, gear and overdrive 5th gear.。	
6453095	,209	, The transfer case had high a。	
6453095	,210	,"nd low gears, and engaged the。	"
6453095	,211	, front axle. Originally all a。	
6453095	,212	,xles were a Timken split type。	
6453095	,213	,", later trucks also used GM ""。	"
6453095	,214	,"banjo"" types.The CCKW had a l。	"
6453095	,215	,adder frame chassis with thre。	
6453095	,216	,"e driven beam axles, the fron。	"
6453095	,217	,"t on leaf springs, the rear t。	"
6453095	,218	,andem on leaf springs with lo。	
6453095	,219	,cating arms. There were two w。	
6453095	,220	,"heelbases, the short Model 35。	"
6453095	,221	,2 and the long Model 353. The。	
6453095	,222	," short, (Measurements are fro。	"
6453095	,223	,m the centerline of the front。	
6453095	,224	, axle to the centerline of re。	
6453095	,225	,ar bogie) was used with a sho。	
6453095	,226	,rt cargo bed as an artillery 。	
6453095	,227	,prime mover for 75 mm and 105。	
6453095	,228	, mm howitzers. All other mode。	
6453095	,229	,ls used the long wheelbase. T。	
6453095	,230	,"ires were 7.50-20, brakes wer。	"
6453095	,231	,e hydraulic with vacuum assis。	
6453095	,232	,t.Some were fitted with front。	
6453095	,233	,-mounted winches. A winch add。	
6453095	,234	,ed and .Some open cab chassis。	
6453095	,235	, were cut in half behind the 。	
6453095	,236	,cab for air transport. Each h。	
6453095	,237	,"alf was a load, at the vehicl。	"
6453095	,238	,"e's destination, the halves w。	"
6453095	,239	,ere bolted back together. CCW。	
6453095	,240	," (C表示1941, C表示传统驾驶室, W表示串联双后桥。	"
6453095	,241	,)是公路型5吨6×4卡车。	
6453095	,242	,使用梁式前轴。	
6453095	,243	,  	
6453097	,244	,格洛克43X（Glock 43X）是一款由奥地利枪械制造商。	
6453097	,245	,格洛克公司所研制。	
6453097	,246	,生产并且推出的袖珍型半自动手枪。	
6453097	,247	,是格洛克43和格洛克48的混合型（可在格洛克的归类中仍然是。	
6453097	,248	,瘦身袖珍型），发射9×19毫米鲁格手枪子弹。	
6453097	,249	,标凖弹匣为10发，在2015年之中推出的格洛克43。	
6453097	,250	,有著握把过短过窄，以致弹匣装弹量过少和人机工效逊色的不足。	
6453097	,251	,格洛克43X在2019年（美国著名枪展）以上首度展出。	
6453097	,252	,格洛克43X在2018年设计。	
6453097	,253	,它在推出时已经是以第五代版本之姿出现。	
6453097	,254	,但与第五代版本不同的是并没有在滑套上型号位置加上「Gen5。	
6453097	,255	,」。	
6453097	,256	, 格洛克43X拥有加长至紧凑型长度并稍为加寛的底把和获保留。	
6453097	,257	,瘦身袖珍型的滑套和枪管长度。	
6453097	,258	,前者对弹匣装弹量与人机工效都有所改进，后者则保持的紧凑尺寸。	
6453097	,259	,格洛克43X的零件为第五代水平。	
6453097	,260	,但采用黑底把白套筒的双色外观。	
6453097	,261	,银白的套筒并非因为采用不锈钢制件。	
6453097	,262	,而是聚合物制件以上涂上了银色的nPVD表面涂层。	
6453097	,263	,格洛克43X为格洛克43的衍生型。	
6453097	,264	,但其10发弹匣不能反过来让格洛克43使用。	
6453097	,265	,却可与格洛克48完全互换底把与弹匣。	
6453097	,266	,格洛克43X亦在滑套前部加上锯齿纹的手枪。	
6453097	,267	,让使用者在检查膛室时能握著滑套前部拉开滑套。	
6453097	,268	, 	
6453099	,269	,"亚当·崔佛·恩格尔（, ）。	"
6453099	,270	,为美国职棒大联盟芝加哥白袜的外野手，2013年大联盟选秀。	
6453099	,271	,白袜队于第19轮选进恩格尔。	
6453099	,272	,他从高阶1A起步，2014年则是待在秋季联盟。	
6453099	,273	,还一度打过澳职，2016年。	
6453099	,274	,恩格尔在亚利桑纳秋季联盟的打击率为4成03。	
6453099	,275	,拿下了联盟MVP，球季结束后。	
6453099	,276	,白袜队将恩格尔加入40人名单，2017年5月27日。	
6453099	,277	,在3A的恩格尔登上大联盟，在生涯第3个打席击出大联盟首安。	
6453099	,278	,2018年。	
6453099	,279	,在全大联盟的中外野手中，恩格尔的守备率是最低的，仅.981。	
6453101	,280	,孔凡影来自黑龙江哈尔滨，是一名中国女子高山滑雪运动员。	
6453101	,281	,2013年3月，她获授予国家体育总局授予运动健将称号。	
6453101	,282	,2018年，她获得平昌冬奥参赛资格。	
6453101	,283	,冬奥期间。	
6453101	,284	,她参加女子大曲道和女子曲道两个项目。	
6453101	,285	,其中她在大曲道项目上获得第55名。	
6453101	,286	,而在曲道项目上则未能完成比赛。	
6453104	,287	,在光学显微镜学中。	
6453104	,288	,超高解析度显微镜学是一结合多项技术的专有名词。	
6453104	,289	,此技术让影像解析度能超越绕射极限。	
6453104	,290	,根据1873年恩斯特·阿贝的研究(特别是对于宽场光源)。	
6453104	,291	,光的绕射会造成传统光学显微镜解析度的极限：一数值孔径N.A。	
6453104	,292	,.。	
6453104	,293	,且入射光波长为λ的具绕射极限的显微镜的水平解析度为d = 。	
6453104	,294	,λ/(2 N.A.)。	
6453104	,295	,垂直解析度(z方向)也可以用同样的表达式给出。	
6453104	,296	,一个标准的光学显微镜解析度在可见光范围约为水平200奈米。	
6453104	,297	,垂直600奈米，实验上。	
6453104	,298	,可达到的解析度可量取点状物体的点扩散函数的半峰全宽求得。	
6453104	,299	,虽然显微镜的解析力并未完整定义。	
6453104	,300	,目前公认超高解析度显微镜技术可达到比阿贝所定义的解析度。	
6453104	,301	,超高解析度显影剂术包含单分子局域分析法，光子穿隧显微术。	
6453104	,302	,以及利用超级透镜，近场扫描式光学显微镜，4Pi显微镜。	
6453104	,303	,共聚焦显微镜(将针孔关闭)，或是经过反褶积 。	
6453104	,304	,侦测器相素重配等计算处理后的共轭焦显微镜影像。	
6453104	,305	,也包含利用结构性光源的险微镜技术(例如SIM以及垂直显像S。	
6453104	,306	,MI)。	
6453104	,307	,目前有两种主要的功能型超高解析度显微镜学：2014年10月。	
6453104	,308	,8日。	
6453104	,309	," 诺贝尔化学奖颁发给艾力克·贝齐格, 威廉·莫尔纳尔和斯特。	"
6453104	,310	,"凡·赫尔以表彰他们对""超高解析度萤光显微镜""的贡献。	"
6453104	,311	,"这促使""光学显微镜进展到奈米尺度""，在1978年。	"
6453104	,312	,已有第一个理论试图透过4Pi 显微镜突破阿贝极限。	
6453109	,313	,庆应医学奖 ()是一个由日本庆应义塾大学颁发的医学奖项。	
6453109	,314	,奖励。	
6453109	,315	,1994年由庆应义塾大学校友坂口光洋提议设立庆应义塾大学医。	
6453109	,316	,学振兴基金。	
6453109	,317	,每年九月中旬各选出一位在生命科学领域卓有成就的医学家的日本。	
6453109	,318	,人和非日本人给予奖励。	
6453109	,319	,每年11月或12月在庆应义塾大学举行颁奖典礼。	
6453115	,320	,格洛克48（Glock 48）是一款由奥地利枪械制造商格洛。	
6453115	,321	,克公司所研制，生产并且推出的袖珍型半自动手枪。	
6453115	,322	,是格洛克19的瘦身袖珍型版本。	
6453115	,323	,发射9×19毫米鲁格手枪子弹，标凖弹匣为10发。	
6453115	,324	,格洛克48在2019年（美国著名枪展）以上首度展出。	
6453115	,325	,格洛克48在2018年设计。	
6453115	,326	,它在推出时已经是以第五代版本之姿出现。	
6453115	,327	,但与第五代版本不同的是并没有在滑套上型号位置加上「Gen5。	
6453115	,328	,」。	
6453115	,329	, 格洛克48拥有收窄至接近瘦身袖珍型的底把和获保留紧凑型的。	
6453115	,330	,滑套和枪管长度。	
6453115	,331	,前者可在弹匣装弹量，隐蔽性与人机工效之间取得平衡。	
6453115	,332	,后者则保持射击精度和火药燃烧。	
6453115	,333	, 格洛克48的零件为第五代水平。	
6453115	,334	,但采用黑底把白套筒的双色外观。	
6453115	,335	,银白的套筒并非因为采用不锈钢制件。	
6453115	,336	,而是聚合物制件以上涂上了银色的nPVD表面涂层。	
6453115	,337	, 格洛克48亦在滑套前部加上锯齿纹的手枪。	
6453115	,338	,让使用者在检查膛室时能握著滑套前部拉开滑套。	
6453115	,339	, 目前它是格洛克公司第四把瘦身手枪型号，紧凑型底把。	
6453115	,340	,滑套及枪管的尺寸与其他型号不同。	
6453115	,341	,为了保持握把的阔度而改用了10发容量的单排弹匣。	
6453115	,342	,因此只能与同格洛克43X的口径型号互换弹匣。	
6453115	,343	,甚至底把，格洛克48是向民间市场销售。	
6453115	,344	,亦可被执法部门广泛采用。	
6453115	,345	,格洛克48的握把阔度比格洛克19要薄。	
6453115	,346	,更便于隐蔽任务，或作为便衣探员及私人保安的「后备手枪」。	
6453115	,347	, 格洛克43X（Glock 43X）是格洛克43和格洛克4。	
6453115	,348	,8的混合型。	
6453115	,349	,拥有格洛克43般的滑套和枪管和本枪的底把（可在格洛克的归类。	
6453115	,350	,中仍然是瘦身袖珍型。	
6453115	,351	,而套筒也是涂上了银色表面涂层）。	
6453116	,352	,完颜定奴。	
6453116	,353	,女真族。	
6453116	,354	,姓完颜，金朝将领。	
6453116	,355	,金宣宗时参知政事。	
6453116	,356	,完颜纲的弟弟，绰号“三脆羹”。	
6453116	,357	,完颜定奴与哥哥完颜纲全都知名，初任护卫。	
6453116	,358	,平凉府（今甘肃平凉）判官。	
6453116	,359	,官至同知真定府（今河北正定县）。	
6453116	,360	,泰和六年（1206年）。	
6453116	,361	,从平章政事仆散揆攻宋，加平南虎威将军，罢兵后。	
6453116	,362	,转任河南东路副统军。	
6453116	,363	,三迁至武胜军节度使，入为右副点检。	
6453116	,364	,大安二年（1210年）升为元帅右都监。	
6453116	,365	,蒙古军攻西京（今山西大同市），奉令前往救援。	
6453116	,366	,改任震武军节度使，元帅奥屯襄救西京，全军被歼于墨谷口。	
6453116	,367	,完颜定奴因为失期不至及不奏军败实情降职为河州防御使。	
6453116	,368	,金宣宗即位，除知归德府，担任签枢密院事。	
6453116	,369	,行院于归德府，贞祐二年（1214年），改任知河南府。	
6453116	,370	,兼河南副统军使，改为殿前都点检，兼侍卫军都指挥使。	
6453116	,371	,在徐州行枢密院，入朝官至刑部尚书，参知政事。	
6453116	,372	,兴定三年（1219年）卒。	
6453126	,373	,《八分钟的温暖》。	
6453126	,374	,2019年中国偶像剧，本剧改编自夏茗悠的同名小说，由姜卓君。	
6453126	,375	,陈汛，丁禹兮，朱丹妮领衔主演。	
6453126	,376	,腾讯视频于2019年1月30日首播。	
6453132	,377	,刘鹗，字楚奇，吉安永丰人。	
6453132	,378	,生于元世祖至元二十七年（1290年）。	
6453132	,379	,卒于惠宗至正二十四年（1364年），年七十五。	
6453132	,380	,仁宗皇庆间荐授扬州学录，历翰林修撰，擢江州总管，升广东副使。	
6453132	,381	,拜江西参政，守韶州六年，后为江西红巾军所破，被执死。	
6453132	,382	,为文风骨高秀，学者称浮云先生。	
6453132	,383	,有《惟实集》八卷，外集二卷传世。	
6453134	,384	,《天下无诈》。	
6453134	,385	,2019年中国刑侦剧，由郭晓东，徐悦。	
6453134	,386	,王茜领衔主演，北京卫视于2019年1月30日首播。	
6453134	,387	,"!colspan=""2""|平均收视|||||||| || 。	"
6453134	,388	,"|||| || ||||align=""left"" |	"
6453140	,389	,山室 直仪（やまむろ ただよし）他是日本の动画师。	
6453140	,390	,Shindo Productions（进藤プロダクション）。	
6453140	,391	,出身。	
6453140	,392	,东映动画所属，山室直仪小时候在少林寺习武。	
6453140	,393	,因此喜欢动作类的作品。	
6453140	,394	,当『七龙珠』开始时他觉得「太棒了!!」(笑)。	
6453140	,395	,<br>1984年。	
6453140	,396	,他被聘为进藤满尾在1981年创立的Shindo Produ。	
6453140	,397	,ctions成员。	
6453140	,398	,以「细致」「流畅」「锐利」的动画为主要特色。	
6453140	,399	,之后很快地被东映动画公司雇用制作鸟山明原作系列改编的动画。	
6453140	,400	,后来信藤在开始鸟山的改编『七龙珠Z』制作时。	
6453140	,401	,为降低工作量开始将动画监督的职位交给山室直仪。	
6453140	,402	,<br>山室直仪也因为开始改编鸟山明的连载漫画『怪博士与机。	
6453140	,403	,器娃娃』（『周刊少年Jump』1986年到1981年）的电。	
6453140	,404	,视动画而闻名。	
6453140	,405	,之后也参加1985年『天使之卵』和1986年『天空之城』的。	
6453140	,406	,剧场版动画作品。	
6453140	,407	,他的代表作有：『航海王』(作画监督)。	
6453140	,408	,『冒险王毕特』(角色设计，作画监督)。	
6453140	,409	,在电视动画『怪博士与机器娃娃』之后。	
6453140	,410	,他继续为鸟山明原作有关的『七龙珠』『七龙珠Z』『七龙珠GT。	
6453140	,411	,』『怪博士与机器娃娃』（数位重制版）制作。	
6453140	,412	,他的高水准的作画受到瞩目。	
6453140	,413	,<br>1991年他继承进藤満尾的作画监督。	
6453140	,414	,当时他和志田直俊，中鹤胜祥。	
6453140	,415	,佐藤正树四人成为七龙珠动画系列在重要关键时刻动员作画监督的。	
6453140	,416	,动画师，1992年11月前田实离开后。	
6453140	,417	,山室直仪和中鹤胜祥共同分担『七龙珠』接下来的人物设计。	
6453140	,418	,直至1997年『七龙珠GT』结束，1996年。	
6453140	,419	,山室直仪离开了Shindo Productions。	
6453140	,420	,留在东映动画工作至今。	
6453140	,421	,之后鸟山明作品『七龙珠』系列DVD版的封面图由山室直仪包办。	
6453140	,422	,后续参与『航海王』和『数码宝贝』系列同样表现高作画的水准。	
6453140	,423	,2015年10月。	
6453140	,424	,山室直仪在Barcelona（巴塞隆纳）接受节目「Misi。	
6453140	,425	,on Tokyo」的采访。	
6453140	,426	,在谈论关于受到观众争议的电视动画『七龙珠超』。	
6453140	,427	,以及『七龙珠超』与『七龙珠GT』是否互相连结的同时。	
6453140	,428	,山室提到：「我最喜欢的还是『七龙珠』系列。	
6453140	,429	,所以我会尽全力到我再也画不动了为止」。	
6453140	,430	,山室直仪在早期是一位受到东映动画公司的高层重用与优秀的动画。	
6453140	,431	,师。	
6453140	,432	,然而在近几年担任电视动画『七龙珠超』的指导与监督后。	
6453140	,433	,遭受世界的动画家和七龙珠粉丝的批评。	
6453140	,434	,动画师龟田祥伦也在Twitter上表示「前田実さん时代の柔。	
6453140	,435	,らかい絵柄にしてくれ...」并表示对他非常失望。	
6453140	,436	,<br>但林田师博提到：我们收到的反应都太过于夸张。	
6453140	,437	,有些人只剪了一部分看起来较差的画面放上网。	
6453140	,438	,然后就谈论整套作品。	
6453140	,439	,我觉得不能只凭一小部分就去批评整套作品。	
6453140	,440	,负责那些镜头画面的职员都是刚开始在这个行业不久的新人。	
6453140	,441	,这意味著他们的技术仍然不断进步，无论如何。	
6453140	,442	,他们都是很好的动画师。	
6453140	,443	,1986年1987年1988年1989年1996年1997。	
6453140	,444	,年1999年2001年2002年2003年2004年200。	
6453140	,445	,5年2006年2007年2008年2009年2011年20。	
6453140	,446	,12年2013年2014年2015年1984年1985年1。	
6453140	,447	,986年1988年1990年1991年1993年1994年。	
6453140	,448	,1995年1996年2000年2001年2002年2004。	
6453140	,449	,年2005年2006年2007年2009年2011年201。	
6453140	,450	,2年2013年2014年2015年	
6453143	,451	,《领风者》是中国制作的一部动画。	
6453143	,452	,共七集。	
6453143	,453	,每集25分钟，讲述了卡尔·马克思与燕妮相爱。	
6453143	,454	,与恩格斯相遇并创作《资本论》的人生经历。	
